,Code_postal,Salaire_net_horaire_moyen_en_2014_euro
1081,34032.0,13.0
1082,34033.0,13.0
1083,34034.0,13.0
1084,34035.0,13.0
1085,34036.0,13.0
1086,34037.0,13.0
1087,34038.0,13.0
1088,34039.0,13.0
1089,34040.0,13.0
1090,34041.0,13.0
1091,34042.0,13.0
1092,34043.0,13.0
1093,34044.0,13.0
1094,34045.0,13.0
1095,34046.0,13.0
1096,34047.0,13.0
1097,34048.0,13.0
1098,34049.0,13.0
1099,34050.0,13.0
1100,34051.0,13.0
1101,34052.0,13.0
1102,34053.0,13.0
1103,34054.0,13.0
1104,34055.0,13.0
1105,34056.0,13.0
1106,34057.0,13.0
1107,34058.0,13.0
1108,34059.0,13.0
1109,34060.0,13.0
1110,34061.0,13.0
1111,34062.0,13.0
1112,34063.0,13.0
1113,34064.0,13.0
1114,34065.0,13.0
1115,34066.0,13.0
1116,34067.0,13.0
1117,34068.0,13.0
1118,34069.0,13.0
1119,34070.0,13.0
1120,34071.0,13.0
1121,34072.0,13.0
1122,34073.0,13.0
1123,34074.0,13.0
1124,34075.0,13.0
1125,34076.0,13.0
1126,34077.0,13.0
1127,34078.0,13.0
1128,34079.0,13.0
1129,34080.0,13.0
1130,34081.0,13.0
1131,34082.0,13.0
1132,34083.0,13.0
1133,34084.0,13.0
1134,34085.0,13.0
1135,34086.0,13.0
1136,34087.0,13.0
1137,34088.0,13.0
1138,34089.0,13.0
1139,34090.0,13.0
1140,34091.0,13.0
1141,34092.0,13.0
1142,34093.0,13.0
1143,34094.0,13.0
1144,34095.0,13.0
1145,34096.0,13.0
1146,34097.0,13.0
1147,34098.0,13.0
1148,34099.0,13.0
1149,34100.0,13.0
1150,34101.0,13.0
1151,34102.0,13.0
1152,34103.0,13.0
1153,34104.0,13.0
1154,34105.0,13.0
1155,34106.0,13.0
1156,34107.0,13.0
1157,34108.0,13.0
1158,34109.0,13.0
1159,34110.0,12.3
1160,34111.0,13.0
1161,34112.0,13.0
1162,34113.0,13.0
1163,34114.0,13.0
1164,34115.0,13.0
1165,34116.0,13.0
1166,34117.0,13.0
1167,34118.0,13.0
1168,34119.0,13.0
1169,34120.0,11.6
1170,34121.0,13.0
1171,34122.0,13.0
1172,34123.0,13.0
1173,34124.0,13.0
1174,34125.0,13.0
1175,34126.0,13.0
1176,34127.0,13.0
1177,34128.0,13.0
1178,34129.0,13.0
1179,34130.0,13.0
1180,34131.0,13.0
1181,34132.0,13.0
1182,34133.0,13.0
1183,34134.0,13.0
1184,34135.0,13.0
1185,34136.0,13.0
1186,34137.0,13.0
1187,34138.0,13.0
1188,34139.0,13.0
1189,34140.0,12.6
1190,34141.0,13.0
1191,34142.0,13.0
1192,34143.0,13.0
1193,34144.0,13.0
1194,34145.0,13.0
1195,34146.0,13.0
1196,34147.0,13.0
1197,34148.0,13.0
1198,34149.0,13.0
1199,34150.0,12.7
1200,34151.0,13.0
1201,34152.0,13.0
1202,34153.0,13.0
1203,34154.0,13.0
1204,34155.0,13.0
1205,34156.0,13.0
1206,34157.0,13.0
1207,34158.0,13.0
1208,34159.0,13.0
1209,34160.0,13.0
1210,34161.0,13.0
1211,34162.0,13.0
1212,34163.0,13.0
1213,34164.0,13.0
1214,34165.0,13.0
1215,34166.0,13.0
1216,34167.0,13.0
1217,34168.0,13.0
1218,34169.0,13.0
1219,34170.0,13.0
1220,34171.0,13.0
1221,34172.0,13.0
1222,34173.0,13.0
1223,34174.0,13.0
1224,34175.0,13.0
1225,34176.0,13.0
1226,34177.0,13.0
1227,34178.0,13.0
1228,34179.0,13.0
1229,34180.0,13.0
1230,34181.0,13.0
1231,34182.0,13.0
1232,34183.0,13.0
1233,34184.0,13.0
